node_a,node_b,score
recording,york,1.7069075107574463
couser,forgery,1.6681761741638184
courts,you've,1.6602377891540527
courts,what,1.6000888347625732
reformatory,therefore,1.5799884796142578
reformatory,they,1.5792644023895264
courts,west,1.553239107131958
couser,don't,1.5371911525726318
reformatory,signature,1.5331194400787354
couser,fony,1.5267539024353027
couser,good,1.5118896961212158
couser,fifth,1.4970866441726685
courts,where,1.4953784942626953
couser,crime,1.4951802492141724
reformatory,sparious,1.492748737335205
couser,cousers,1.4525277614593506
recording,will,1.4480483531951904
couser,detective,1.44620680809021
courts,york,1.440962791442871
reformatory,train,1.4402142763137817
